Timestamp,Open_a,Open_b,High_a,High_b,Low_a,Low_b,Close_a,Close_b,Volume
2018-04-26,12782.82838126,9045.83225269,13376.07077673,9450.56234415,12556.80928883,8865.64310872,13373.75562439,9448.92662527,649.19686920
2018-04-25,12777.77028039,9093.48875170,13713.63862450,9719.31229092,12773.03071122,9045.71332768,12782.87056488,9045.86210414,641.66033292
2018-04-24,12623.43527122,9029.35477797,12778.43273304,9105.24309752,12623.30205513,8997.38611411,12778.43273304,9093.96019591,962.50039251
2018-04-23,12031.99204644,8673.86272366,12623.60743356,9097.10665907,12014.11346648,8614.11320125,12623.43524403,9029.35475852,330.61073243
2018-04-22,11560.05998608,8331.91104368,12608.17027827,9085.33257306,11558.27067133,8328.78448664,12032.28530718,8674.07413532,325.30521348
2018-04-21,11564.38149341,8333.28997250,12103.13461575,8721.51531725,11560.07501270,8331.61635938,11560.08704307,8331.93054500,1271.03416360
2018-04-20,11049.28105160,8025.97611053,11850.87556610,8591.63777584,11048.35342705,8002.17389327,11563.80475003,8332.87437139,647.87383501
2018-04-19,11379.39287343,8335.23257377,11619.93052925,8450.34443878,11000.08359911,8025.94572353,11049.84076051,8026.38267185,641.45954350
2018-04-18,11098.91736134,8148.82330625,11380.77913942,8347.64379854,11081.37305548,8106.62676995,11379.42075185,8335.25299429,645.21145535
2018-04-17,11118.73230941,8188.94786493,11251.21078586,8287.25070829,11097.60618208,8145.57903254,11100.47521063,8149.96707895,638.08537872
2018-04-16,11195.16438833,8227.32238455,11543.22482618,8497.61355345,11113.94893253,8153.20845241,11118.80447578,8189.00101547,958.85850846
2018-04-15,10905.82290208,8027.54620888,11276.25904528,8300.21644053,10753.47040432,7915.40274875,11195.16438833,8227.32238455,11.59850461
2018-04-14,10693.05094802,7870.92926136,10863.34630325,7996.28008042,10660.56185831,7847.01472769,10860.98558436,7994.54240504,8.37834158
2018-04-13,10304.13629023,7602.59852128,10715.34678345,7923.19649294,10185.18741072,7517.14845945,10689.93337483,7868.63448149,16.32238549
2018-04-12,9310.80734424,6854.80077468,10304.19100617,7602.63889180,9280.64936906,6842.88015627,10304.19100617,7602.63889180,14.23211470
2018-04-11,9429.63147057,6949.63892199,9677.42956030,7115.70470828,9302.59464726,6848.75442451,9303.69752322,6849.56638363,23.64394589
2018-04-10,9560.99843035,6984.30625933,9641.66348091,7051.67494529,9298.15668135,6830.47393990,9429.63147057,6949.63892199,14.93245892
2018-04-09,9051.68168062,6581.93067106,9838.95780056,7175.64006018,9048.52167642,6581.37484938,9563.40584325,6986.06487367,16.42170655
2018-04-08,9601.69024395,6975.69126663,9997.47746276,7263.23329054,9057.36483248,6589.34347791,9061.87600981,6589.34347791,16.52980757
2018-04-07,9334.05181789,6781.25018554,9674.40123118,7028.51627824,9288.19428527,6747.93438575,9601.69024395,6975.69126663,5.41986625
2018-04-06,9271.30255971,6728.13974547,9518.66054490,6913.58153938,9224.46327267,6697.19113456,9334.09518807,6781.28169426,19.01549631
2018-04-05,9871.33967739,7220.18251884,10025.23012479,7327.82750784,9151.28533060,6653.88371352,9271.30255971,6728.13974547,14.79150103
2018-04-04,9916.52942959,7200.39080844,10403.75444373,7555.88753905,9864.16400298,7200.39080844,9871.33967739,7220.18251884,25.23749381
2018-04-03,10435.28749167,7523.83985130,10472.50170217,7610.03885655,9916.56074865,7200.41354920,9916.56074865,7200.41354920,319.42589970
2018-04-02,10266.13362939,7426.52145813,10506.94677741,7594.74269211,10110.86528515,7290.03822070,10435.28749167,7523.83985130,5.86267825
2018-04-01,10103.83435928,7315.17326709,10341.69119624,7486.11328404,9945.89847174,7195.35781951,10266.13362939,7426.52145813,2.54716963
2018-03-31,9705.89577441,7028.03770708,10123.24897943,7329.22944669,9705.89577441,7028.03770708,10103.83435928,7315.17326709,4.68209146
2018-03-30,10488.16608332,7583.10233000,10495.78090622,7586.66617482,9641.25859243,6970.53352500,9705.77885558,7027.95304616,12.59955880
2018-03-29,11042.11531311,7955.84438144,11062.13883375,7970.68635249,10431.43859032,7541.25704281,10445.68890817,7552.39069145,11.64443804
2018-03-28,11145.91601210,8098.62288376,11236.41099703,8169.76042389,11040.87606118,7954.31535002,11042.11531311,7955.84438144,11.15088779
2018-03-27,11457.04882115,8362.83987982,11536.57661824,8412.00011888,10977.50409300,8003.12622517,11144.01161103,8097.23914589,11.67703016
2018-03-26,12457.96111058,9028.19497902,12457.96111058,9032.13130937,11350.18860678,8282.42724850,11457.04882115,8362.83987982,5.14541868
2018-03-25,12822.70183939,9271.99236371,12882.81087647,9315.45672401,12457.96111058,9028.19497902,12457.96111058,9028.19497902,8.27199916
2018-03-24,12266.78763271,8870.11148948,12822.70183939,9271.99236371,12216.58554450,8833.81037033,12822.70183939,9271.99236371,10.95721431
2018-03-23,12837.20401373,9266.53813912,12900.90894995,9319.78925031,12223.46923665,8861.15655050,12263.78787827,8867.94236770,19.87627872
